,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,OMA|FHGLASM,KO|K02256
A3RIP2,,,,A3RIP2_9SAUR,,
A3RKM3,,,,A3RKM3_9PASS,,
A3RKM4,,,,A3RKM4_9PASS,,
A3RKM5,,,,A3RKM5_FICPA,,
A3RKM6,,,,A3RKM6_9PASS,,
A3RKM7,,,,A3RKM7_9PASS,,
A3RKM8,,,,A3RKM8_9PASS,,
A3RKM9,,,,A3RKM9_9PASS,,
A3RKN0,,,,A3RKN0_9PASS,,
A3RKN1,,,,A3RKN1_9PASS,,
A3RKN2,,,,A3RKN2_9PASS,,
A3RKN3,,,,A3RKN3_9PASS,,
A3RKN4,,,,A3RKN4_9PASS,,
A3RKN5,,,,A3RKN5_9PASS,,
A3RKN6,,,,A3RKN6_9PASS,,
A3RKN7,,,,A3RKN7_9CORV,,
A3RKN8,,,,A3RKN8_9CORV,,
A3RKN9,,,,A3RKN9_9CORV,,
A3RKP0,,,,A3RKP0_9CORV,,
A3RMM4,,,,A3RMM4_HYNAR,,
A3RMP9,,,,A3RMP9_HUMAN,,
A4CGA7,,A4CGA7_ROBBH,,,,
A4F2R4,,,,A4F2R4_PROLO,,
A4F8Y8,,A4F8Y8_SACEN,,,,
A4FQ77,,A4FQ77_SACEN,,,,
A4G458,,A4G458_HERAR,,,,
A4G8I6,,A4G8I6_HERAR,,,,
A4G944,,A4G944_HERAR,,,,
A4GFE5,,,,A4GFE5_9PASS,,
A4GVV6,,,,A4GVV6_CYPRU,,
A4GX76,,,,A4GX76_MELUD,,
A4IF09,,,,A4IF09_BOMVA,,
A4ILX2,,A4ILX2_GEOTN,,,,
A4IN60,,A4IN60_GEOTN,,,,
A4INI4,,A4INI4_GEOTN,,,,
A4ITS3,,A4ITS3_GEOTN,,,,
A4IZX3,,A4IZX3_FRATW,,,,
A4JFC2,,A4JFC2_BURVG,,,,
A4JHR0,,A4JHR0_BURVG,,,,
A4JI34,,A4JI34_BURVG,,,,
A4JR59,,A4JR59_BURVG,,,,
A4JS17,,A4JS17_BURVG,,,,
A4K6A2,,,,A4K6A2_9SAUR,,
A4KVS8,,,,A4KVS8_MACTE,,
A4KVU6,,,,A4KVU6_URSTH,,
A4KVX1,,,,A4KVX1_CHLKI,,
